Slot,Effective TPS,Finalized TPS,Contention
0,254.46898905019137,0,True
1,137.68994127165763,0,True
2,254.569946655522,254.46898905019137,True
3,574.4430336045684,137.68994127165763,True
4,136.82982206545867,254.569946655522,True
5,156.9924415426028,574.4430336045684,True
6,157.49525000836698,136.82982206545867,True
7,423.2279405160318,156.9924415426028,True
8,273.98330233624193,157.49525000836698,True
9,427.20784768303537,423.2279405160318,True
10,137.3860786752214,273.98330233624193,True
11,272.9212679193817,427.20784768303537,True
12,195.86369302404145,137.3860786752214,True
13,505.49670945123125,272.9212679193817,True
14,156.5628768297255,195.86369302404145,True
15,273.4032909958131,505.49670945123125,True
16,215.3027829963162,156.5628768297255,True
17,487.45914858825194,273.4032909958131,True
18,99.23043845509675,215.3027829963162,True
19,157.2398866537072,487.45914858825194,True
